部门,年份,人数,敬业度,满意度,领导力
法律合规部,2024,33.0,84.8484848484848,80.13468013468011,79.96632996633
风险管理部,2022,5.0,100.0,85.5555555555556,82.3529411764706
风险管理部,2023,5.0,100.0,87.7777777777778,87.0588235294118
风险管理部,2024,7.0,96.4285714285714,85.7142857142857,87.3015873015873
技术研发中心,2022,157.0,94.90445859872611,86.1641896673744,85.4627201198951
技术研发中心,2023,156.0,90.5982905982906,81.6951566951567,80.6938159879336
技术研发中心,2024,288.0,89.4097222222222,87.2588734567901,86.8634259259259
精算部,2022,10.0,96.6666666666667,97.2222222222222,97.64705882352939
精算部,2023,6.0,100.0,97.68518518518519,96.078431372549
精算部,2024,10.0,97.5,98.6111111111111,99.4444444444444
再保部,2022,4.0,91.6666666666667,93.75,95.5882352941177
再保部,2023,3.0,88.8888888888889,83.3333333333334,86.27450980392159
再保部,2024,3.0,91.6666666666667,86.1111111111111,87.037037037037
客户体验中心,2022,60.0,93.8888888888889,88.75,87.156862745098
客户体验中心,2023,62.0,87.0967741935484,76.4784946236559,75.426944971537
客户体验中心,2024,32.0,80.46875,81.6840277777778,83.3333333333333
内部审计部,2022,10.0,100.0,96.9444444444444,95.2941176470588
内部审计部,2023,13.0,97.4358974358974,91.4529914529915,89.5927601809955
内部审计部,2024,9.0,94.4444444444444,94.1358024691358,90.1234567901235
人力资源部,2022,67.0,82.089552238806,64.80099502487559,61.8086040386304
人力资源部,2023,59.0,71.1864406779661,60.5461393596987,58.823529411764696
人力资源部,2024,54.0,76.8518518518518,69.5987654320988,69.6502057613169
市场公关部,2022,15.0,77.7777777777778,72.2222222222222,74.9019607843137
市场公关部,2023,18.0,87.037037037037,74.8456790123457,74.50980392156859
市场公关部,2024,24.0,75.0,75.3472222222222,74.0740740740741
数据科学应用中心,2022,147.0,96.3718820861678,89.8526077097506,88.7154861944778
数据科学应用中心,2023,111.0,95.1951951951952,90.4154154154154,91.3619501854796
数据科学应用中心,2024,133.0,88.72180451127821,86.3199665831245,86.8838763575606
消费者权益保护部,2022,12.0,88.8888888888889,88.65740740740739,88.235294117647
消费者权益保护部,2023,17.0,94.1176470588235,86.27450980392159,85.121107266436
消费者权益保护部,2024,15.0,90.0,91.4814814814815,91.85185185185189
行政管理部,2022,18.0,98.1481481481482,94.5987654320987,94.7712418300654
行政管理部,2023,21.0,96.82539682539681,89.5502645502646,89.9159663865546
行政管理部,2024,18.0,75.0,78.39506172839509,77.4691358024692
运营管理中心,2022,15.0,73.3333333333333,54.259259259259295,51.3725490196078
运营管理中心,2023,13.0,74.3589743589744,62.820512820512896,60.633484162895904
运营管理中心,2024,10.0,92.5,70.8333333333333,71.6666666666666
资本市场及投资者关系部,2022,4.0,66.6666666666667,73.6111111111111,72.0588235294118
资本市场及投资者关系部,2023,2.0,100.0,93.0555555555556,97.0588235294118
资本市场及投资者关系部,2024,2.0,100.0,98.6111111111111,97.2222222222222
总经理办公室,2022,5.0,93.3333333333333,97.7777777777778,98.8235294117647
总经理办公室,2023,5.0,93.3333333333333,97.7777777777778,97.64705882352939
总经理办公室,2024,5.0,95.0,93.3333333333334,94.4444444444444
车险事业部,2022,133.0,89.72431077694239,84.1687552213868,83.5913312693498
车险事业部,2023,90.0,95.92592592592591,87.037037037037,87.843137254902
车险事业部,2024,87.0,91.3793103448276,89.3267651888341,88.9527458492976
健康险事业部,2022,247.0,93.9271255060729,84.27800269905529,83.3769945225054
健康险事业部,2023,199.0,92.7973199329983,87.1719709659408,86.7573159917233
健康险事业部,2024,220.0,82.1590909090909,84.9368686868687,86.6414141414141
金融事业部,2022,396.0,92.4242424242424,86.0690235690236,85.5763517528223
金融事业部,2023,365.0,93.1506849315069,85.0,84.1095890410959
金融事业部,2024,325.0,87.30769230769229,80.6581196581197,80.7863247863248
开放平台部,2022,62.0,93.5483870967742,87.5448028673835,87.8557874762808
开放平台部,2023,44.0,82.5757575757576,81.9444444444444,83.2887700534759
开放平台部,2024,66.0,83.7121212121212,82.5757575757576,84.3434343434343
数字生活事业部,2022,128.0,94.2708333333333,89.2361111111111,88.7867647058823
数字生活事业部,2023,111.0,96.09609609609609,93.1181181181181,93.5877053524112
数字生活事业部,2024,126.0,87.3015873015873,88.8668430335097,88.5802469135803
信息科技,2022,434.0,93.4715821812596,85.899897593446,85.2941176470588
信息科技,2023,255.0,84.4444444444444,78.30065359477129,78.2468281430219
信息科技,2024,269.0,79.089219330855,81.2887236679058,82.5072284180091
直营事业部,2022,145.0,88.735632183908,81.3984674329502,80.7302231237323
直营事业部,2023,132.0,89.6464646464647,81.1237373737374,81.5953654188948
直营事业部,2024,101.0,87.12871287128709,80.3080308030803,80.3630363036304
资产管理部,2022,33.0,89.8989898989899,85.18518518518519,85.3832442067736
资产管理部,2023,37.0,84.6846846846847,84.3093093093093,84.4197138314785
资产管理部,2024,20.0,77.5,82.2222222222222,81.9444444444444
安全廉政部,2022,4.0,100.0,98.6111111111111,100.0
安全廉政部,2023,5.0,100.0,95.5555555555556,96.4705882352941
安全廉政部,2024,5.0,90.0,93.3333333333333,97.7777777777778
财务部,2022,63.0,91.005291005291,83.7742504409171,84.1269841269841
财务部,2023,73.0,93.6073059360731,84.58904109589041,83.8033843674456
财务部,2024,52.0,83.6538461538462,86.53846153846149,88.46153846153851
董事会办公室,2023,4.0,100.0,72.2222222222222,70.5882352941177
董事会办公室,2024,5.0,80.0,88.3333333333334,88.8888888888889
发展规划部,2022,17.0,88.2352941176471,87.74509803921569,88.5813148788927
发展规划部,2023,11.0,90.90909090909089,80.3030303030303,79.144385026738
发展规划部,2024,7.0,82.1428571428571,69.04761904761911,68.2539682539682
法律合规部,2022,41.0,91.0569105691057,74.59349593495939,75.89670014347199
法律合规部,2023,31.0,86.0215053763441,77.5089605734767,77.2296015180266
法律合规部,2024,33.0,84.8484848484848,80.13468013468011,79.96632996633
风险管理部,2022,5.0,100.0,85.5555555555556,82.3529411764706
风险管理部,2023,5.0,100.0,87.7777777777778,87.0588235294118
风险管理部,2024,7.0,96.4285714285714,85.7142857142857,87.3015873015873
技术研发中心,2022,157.0,94.90445859872611,86.1641896673744,85.4627201198951
技术研发中心,2023,156.0,90.5982905982906,81.6951566951567,80.6938159879336
技术研发中心,2024,288.0,89.4097222222222,87.2588734567901,86.8634259259259
精算部,2022,10.0,96.6666666666667,97.2222222222222,97.64705882352939
精算部,2023,6.0,100.0,97.68518518518519,96.078431372549
精算部,2024,10.0,97.5,98.6111111111111,99.4444444444444
再保部,2022,4.0,91.6666666666667,93.75,95.5882352941177
再保部,2023,3.0,88.8888888888889,83.3333333333334,86.27450980392159
再保部,2024,3.0,91.6666666666667,86.1111111111111,87.037037037037
客户体验中心,2022,60.0,93.8888888888889,88.75,87.156862745098
客户体验中心,2023,62.0,87.0967741935484,76.4784946236559,75.426944971537
客户体验中心,2024,32.0,80.46875,81.6840277777778,83.3333333333333
内部审计部,2022,10.0,100.0,96.9444444444444,95.2941176470588
内部审计部,2023,13.0,97.4358974358974,91.4529914529915,89.5927601809955
内部审计部,2024,9.0,94.4444444444444,94.1358024691358,90.1234567901235
人力资源部,2022,67.0,82.089552238806,64.80099502487559,61.8086040386304
人力资源部,2023,59.0,71.1864406779661,60.5461393596987,58.823529411764696
人力资源部,2024,54.0,76.8518518518518,69.5987654320988,69.6502057613169
市场公关部,2022,15.0,77.7777777777778,72.2222222222222,74.9019607843137
市场公关部,2023,18.0,87.037037037037,74.8456790123457,74.50980392156859
市场公关部,2024,24.0,75.0,75.3472222222222,74.0740740740741
数据科学应用中心,2022,147.0,96.3718820861678,89.8526077097506,88.7154861944778
数据科学应用中心,2023,111.0,95.1951951951952,90.4154154154154,91.3619501854796
数据科学应用中心,2024,133.0,88.72180451127821,86.3199665831245,86.8838763575606
消费者权益保护部,2022,12.0,88.8888888888889,88.65740740740739,88.235294117647
消费者权益保护部,2023,17.0,94.1176470588235,86.27450980392159,85.121107266436
消费者权益保护部,2024,15.0,90.0,91.4814814814815,91.85185185185189
行政管理部,2022,18.0,98.1481481481482,94.5987654320987,94.7712418300654
行政管理部,2023,21.0,96.82539682539681,89.5502645502646,89.9159663865546
行政管理部,2024,18.0,75.0,78.39506172839509,77.4691358024692
运营管理中心,2022,15.0,73.3333333333333,54.259259259259295,51.3725490196078
运营管理中心,2023,13.0,74.3589743589744,62.820512820512896,60.633484162895904
运营管理中心,2024,10.0,92.5,70.8333333333333,71.6666666666666
资本市场及投资者关系部,2022,4.0,66.6666666666667,73.6111111111111,72.0588235294118
资本市场及投资者关系部,2023,2.0,100.0,93.0555555555556,97.0588235294118
资本市场及投资者关系部,2024,2.0,100.0,98.6111111111111,97.2222222222222
总经理办公室,2022,5.0,93.3333333333333,97.7777777777778,98.8235294117647
总经理办公室,2023,5.0,93.3333333333333,97.7777777777778,97.64705882352939
总经理办公室,2024,5.0,95.0,93.3333333333334,94.4444444444444
